word,clue
DRAGONBOAT,"Shanghai may offer this oriental craft (6,4)"
ULSTER,Powerful steroids hidden in coat? Quite the opposite! (6)
ROULETTE,Open university communication finally getting precedence for game (8)
SKIDPAN,"Practice driving area and range occupied by child (4,3)"
SCRAGEND,Butcher’s cut credit in singular truncated schedule (5-3)
PRESSED,"In a hurry? Quietly relax, we’re told (7)"
ARQUEBUS,Gun once needing revolutionary advance to support unprotected brands (8)
MAILDROP,"Delivery procedure under macho-sounding doctor (4,4)"
COMPLEXION,Appearance of one working oppressed by phobia (10)
BALI,Island origin of British boxer (4)
WASABI,Cook may need this when sailor’s in the West End (6)
LATERAL,Security has no pass for side (7)
STATUTE,Act of sovereign country occupied by junta intermittently (7)
FOOTLOOSE,Free to pay for facilities on top of Everest (9)
BUSHTUCKER,"UK butchers supply such fare (4,6)"
EPISODES,Record one’s poems in instalments (8)
MACERATE,Staff cost is steep (8)
ADDRESS,Speak to head of department during a shift (7)
VAQUERO,A question cut short interrupting very old cowboy (7)
ONEDGE,"Tense over northern border (2,4)"
TONK,Bond may be set up for strike (4)
RESPIRED,Spider spinning on banks of Rhine showed signs of life (8)
OBTAIN,Land at home east of boat at sea (6)
CHOWCHOW,Dog food at the double? (4-4)
MUSCAT,Greek character: shift for capital (6)
NEPHEW,"Relative number initially cut, that’s a weight off my shoulders! (6)"
ROASTING,"Stolen by gang, oven hot! (8)"
ASININE,"Trimmed, basic figure idiotic (7)"
PERI,Queen guarded by good fairy (4)
AXON,Some nerve heading off old raider! (4)
BOLIVAR,Currency as it happens almost pinched by swine (7)
BOTHERED,"Spare kept in sack, poked nose in (8)"
SKIRUN,"Risk breaks, one in Chamonix — on this? (3,3)"
TURNIP,"From behind, hold down and grind vegetable (6)"
WOMANISE,"Play around, with puzzling one’s aim (8)"
NODOFF,"Absolutely not getting lift, crash (3,3)"
GRADIENT,Present banking pass for bank (8)
RACINE,People defending popular dramatist (6)
SLOPPY,"Wet coats left, muddy (6)"
INCREASE,"Towards the centre, fold up (8)"
EROS,Love child maybe painful to bring up (4)
BLUISH,Fairly colourful glow around India (6)
ARCHIVES,Records from chief composer (8)
NOTAGAIN,"Turkish commander breaking out? This has happened before! (3,5)"
MOUNTIE,Little time free for officer abroad (7)
SNOOKER,Fool breaking game? (7)
RAMBUTAN,Stuff still on top of an Asian fruit (8)
DOCTORED,Wine after month in effect contaminated (8)
BACKHAND,Finance worker shot (8)
RELIEF,Sports official eating whopper for charity (6)
BRUISE,"Mark puts the kettle on, we hear (6)"
UNSEAT,Throw cakes without topping down (6)
FOUR,Coat covering old pair of braces (4)
SOFTSOAP,"Succeeded with a spot of moving flattery (4,4)"
IMPAIR,"Blunt, independent married couple (6)"
ADMIRE,Take one’s hat off to daughter entering a stretch of boggy ground (6)
APPROACH,Method that may get a fish very quietly hooked (8)
TAKETHAT,"Exclamation made by one hitting another in pop group? (4,4)"
TRENDY,"Hear about object, very fashionable (6)"
MISREPRESENT,Inaccurately portray reformed miser here (12)
BRANDYBUTTER,"Sauce on heat in B&B, say (6,6)"
BATMAN,"Comic book crimefighter, officer’s personal assistant (6)"
FRICTION,Invented story about Republican causes conflict (8)
CROSSBAR,Part of the woodwork in pub by bridge (8)
VANDAL,One doing wilful damage in museum close to Whitehall (6)
ONEDGE,"Ill at ease concerning border (2,4)"
TURNCOAT,Go off and film rat (8)
ORDEAL,Trying experience in gold trade (6)
TRIPE,Food: tons ready to be harvested (5)
OVERHASTY,"Too quick a shot, very ungainly (9)"
PRATTLE,"Rabbit, soft baby’s toy (7)"
INPUT,Place under batting data (5)
PROFESSOR,Posers for supply teacher (9)
INCIDENT,Depression following popular Channel Islands event (8)
MINIMISED,Made light of notes describing one newspaper chief (9)
RETRIEVER,"Dog, barking terrier, biting vet endlessly (9)"
TRIALRUN,"Manage after hearing test (5,3)"
UPFORIT,"Ready to take part on horseback, on account of Italian (2,3,2)"
SONATA,"Musical piece, likewise with a beat, coming up (6)"
NOBLE,"Illustrious person of wealth, extremely likeable (5)"
TONIC,"Livener kept in bucket, on ice (5)"
DOWNTHEHATCH,"Bandaged by feathers and straw, that man in good health (4,3,5)"
FOLLOWING,Fluid including oil drained next (9)
CLOUT,Power punch (5)
MAYHEM,Traditional UK general election time bound to be chaos (6)
ASSASSIN,Hired gun: twin fools in for it? (8)
DELETE,"Cut ends off old sausage roll, the worst piece (6)"
SURROUND,Wrap up certain short series (8)
FLAGRANT,Blatant placing of elderly relative in annexe? (8)
CONFAB,Party great for gossip (6)
ACHILLES,"Hero getting cold in water, on the retreat (8)"
TRYING,Tiresome court procedure (6)
HERTS,County pack members overheard? (5)
TYRANNISE,Bully sees girl is pinioned by rubber ring (9)
STORMYPETREL,"Bird demolished pretty morsel (6,6)"
DEFAMED,"Brought into disrepute, fed up getting made wrong (7)"
WELLY,"Big effort, one going on foot (5)"
TWO,Small vehicle in row with estate after crashing (3-6)
EDIT,Correct current passed up (4)
AUGUSTUS,Eminent American ruler of empire (8)
COCOA,Officer doubling up on a drink (5)
HOTSTUFF,"Chilli, for example, flavour of the month? (3,5)"
STONED,"Part of chest, one drawer out of it (6)"
LEATHERY,Tough knots lay there (8)
RIOGRANDE,"American flower in Rhode Island, giant swallows also (3,6)"
INVENTOR,Creator of new design put hole in wrought iron (8)
FLASHY,"Loud, like lightning? (6)"
BIGDEAL,"Bad leg I gathered, who cares? (3,4)"
LISZT,Virtuoso with record on the radio? (5)
ICIER,"More slippery, every other bit of pitch, I hear (5)"
ARMY,"Huge number of limbs, arguably? (4)"
SPIRIT,Bottle — what could be in it? (6)
MISUSE,Exploit is defended by creative influence (6)
OASIS,"Spring is ending obviously, and summer starts (5)"
PENDULOUS,Suspended hammers used upon about fifty (9)
CLOBBER,Hit things (7)
FIDDLER,"Musician, untrustworthy type (7)"
PARTRIDGE,Separate escarpment for bird (9)
BUGGY,Cart infested with insects (5)
CADDY,Assistant on course leaves here? (5)
BADMINTON,China behind shocking sport (9)
ACROBAT,"Performer, a jazz fan downing mug (7)"
AFFABLE,"Pleasant, a story capturing Kafka’s heart (7)"
BRAZILNUT,"Last character in tribunal misrepresented, is that hard to swallow? (6,3)"
ATALL,"Ever a giant (2,3)"
ATTLEE,PM in general beyond a gutless twit (6)
HEELED,"Listed, as are stilettos? (6)"
PESTO,Sauce pots Epicurean’s holding up (5)
RASPBERRY,Expression of derision that’s fruity? (9)
TAPER,Decrease power in adjustment of rate (5)
MANSFIELD,"Old player, fellow’s on pitch (9)"
SOUND,Healthy also underneath masks (5)
SPOTLIGHT,Focus weak around corporation (9)
TOECAP,Item attached to boot to walk uphill (6)
ASTRAY,"Adrift, like carrier (6)"
REDBREAST,"Bird breeds with rat, bizarrely (9)"
DEBUTANTE,"Woman making first appearance badly taunted about errand boy, initially (9)"
BRIEFCASE,Short suit in item of luggage (9)
CRABBY,"Cross, as one scuttling off? (6)"
NEEDLE,Taunt that may be on record? (6)
BRILL,Fish in river caught by William (5)
AITCH,"Character sometimes dropped, a sensation (5)"
BRAKE,"Stop holiday, did you say? (5)"
POTATORACE,"Old rubbish men spotted in the course of walk or fun run (6,4)"
GENT,Fellow presenting information on time (4)
CRAVE,What is long and yellow with no tail? (5)
LASERBEAM,"Odd male entertaining a European that is very bright (5,4)"
DISAGREEMENTS,Greediest man’s involved in arguments (13)
STEARATE,Something in soap is given attention in the country (8)
ANGLER,One with inclination to go to river? (6)
ONSETS,Attacks on TV the ultimate in nastiness? (6)
BAGUETTE,"Be full of sickness, having dry bread (8)"
EXONERATE,"Clear individual pursuing old lover, gaining speed (9)"
ADORE,Fuss with Religious Education and Worship (5)
TODO,One waited for returning? No good fussing (2-2)
PERSISTENT,Determined person not getting on is needing shelter (10)
PUCK,Fairy bringing up vessel before king (4)
TWADDLE,Rabbit to walk like a duck south of road junction (7)
TREASURETROVE,What could be ever so true — art being seen as a valuable collection (8-5)
RELEGATE,Put down attendee at conference wanting new leader (8)
CASTE,A saint in church group (5)
ETERNAL,"Enduring out in space, learn to adapt (7)"
TIMESERVER,Opportunist who looks after the enemy? (10)
ROMANNUMERALS,"Symbols of the past to be reckoned with (5,8)"
ASSORTMENT,No smart set — jumbled collection of various items (10)
MANATEES,"Creatures making bloke rested, we hear (8)"
STEROID,Heavenly body doesn’t need a body-building chemical (7)
TETRODE,Tube to deter travelling around? (7)
STALE,Storyteller’s first yarn lacking originality (5)
CENT,Money HQ about to be demolished (4)
COWLING,It’s frightening crossing lake — cover needed (7)
TROMP,Nothing right about politician’s blast (5)
FRINGE,Boundary made by iron-clad circle (6)
RELISHED,Enjoyed something of historic interest — small building for Caesar originally (8)
ESCAPOLOGY,Son imprisoned in city saying sorry — how to end confinement? (10)
TACK,Food that a racehorse needs (4)
PARENTCOMPANY,"Drama about charge included in bill presented by any big firm? (6,7)"
HERM,The female’s modelling initially for statue (4)
SULTRINESS,Results in onset of sweat possibly? (10)
MARGRAVE,Noble fellow hurt and sombre (8)
VOTIVE,Case about to be dismissed in fulfilment of solemn promise (6)
ECLAT,Yarn about Conservative making comeback brings applause (5)
ENABLER,One helps others learn and be free (7)
SWAN,Bird bites when upset — not good (4)
PIPEDOWN,"Wrap up piece of plumbing emerging from bathroom? (4,4)"
STALKY,"Kipling’s soldier, say, making a speech? (6)"
HOUSE,Routine has to be organised for discipline in the home (5-5)
CORPS,Gosh — you can hear that army unit! (5)
GIRTONCOLLEGE,"Naughty girl once got to tour the French educational establishment (6,7)"
PREACHY,Victim outside a church inclined to be moralistic (7)
ACROMEGALY,Physical problem? Somehow get calmer with yoga (10)
PRESAGE,Endless crush preceding time signal (7)
MORAVIAN,"Protestant version of Bible, one got hold of by converted Roman (8)"
SHANTY,Won’t you primarily sing this at sea? (6)
SEVER,Cut flower deprived of root (5)
TILL,Ultimately reject bad work (4)
TASTES,Predilections for small portions? (6)
COMB,"Search some musicians, ultimately missing nothing (4)"
ODOUR,"Scent … Cologne, it’s said (5)"
ARRAIGNMENT,"German train crashes, leading to prosecution (11)"
MASON,Craftsman representing two generations (5)
SERVINGTIME,"When the waitress approaches behind bars! (7,4)"
ICECAP,One that’s cold to walk over (6)
ANALYSIS,Study with an introduction to Aristophanes’ Lysistrata half-written (8)
PRISONER,"Number Six, the inside man (8)"
PEANUT,Fitness fanatic consumes a little bit of a snack (6)
COMESTOPASS,"Arrives at the Khyber, as happens (5,2,4)"
YARDS,Small cart backing several feet (5)
WINDCHEATER,Cold in head nasty in bleak season? Wrap up warm in this (11)
UNTIE,Loose article in Paris Match (5)
SMEW,Duck to baste — around medium (4)
STAYUP,"Don’t retire, as those who keep from relegation do (4,2)"
BOOM,Barrier for prosperity (4)
CONSUMERISM,"Being keen on spending, as opposed to total miser splashed out (11)"
TRANSLATORS,Bread might give them pain (11)
SARTRE,Rarest sort of philosopher (6)
EDITIONS,"Issues comprising treason, start to finish (8)"
COMET,Firm paid for jet (5)
MINIM,Note car on motorway going downhill and uphill (5)
GOLDENSYRUP,"Terribly ugly person hugging daughter; that’s sweet (6,5)"
INSINCERITY,Deceitfulness of fashionable Las Vegas taking in Her Majesty (11)
ERSATZ,German sub! (6)
BIOPIC,Writer pockets ten pence piece in cinema (6)
REDOLENT,Evocative of European river ebbing fast (8)
PASTRY,Puff from old trains? (6)
ODIUM,Blame leader having quit platform (5)
ENDOW,"Give, in 7d (5)"
SLED,"With onset of snow, blazed a trail on this? (4)"
EMETICAL,Vomitory rejected delicately embroidered article? (8)
OBLIGATI,What we must play off and on to a balding captain? (8)
FREE,"Charge lifted, released from custody (4)"
BRANDYBUTTER,"Bloody frisky goat, a spirited and saucy type! (6,6)"
LAST,Tap glass for refreshment at 10:59:59? (4-4)
EPILOG,Two records one in Rome opens and one in Washington concludes (6)
GENE,What sequencing of heritage needs? (4)
JUICY,"Roughly, do you understand what I’m saying is rather scandalous? (5)"
HYMN,Hosanna! Your motet noted in worthy mnemonic? (4)
IQTEST,"Quotients worked out by University on _____? (1,1,4)"
YEARLONG,Annual review of pay forgetting the old man Elgar? No! (8)
ALADDIN,"I realised the great potential of rubber (8,4)"
PHIZ,Face the sound of pop (4)
CLUBSODA,"Black suit function taken over by a supplier of fizz (4,4)"
LASERPEN,"Pointer for one lecturing on ecdysis of snake? (5,3)"
THEBITTEREND,"When there’s no ale left, it’s time to admit defeat! (3,6,3)"
CANADA,Where Wolfe famously fought the French about nothing (6)
LORDPRIVYSEAL,"Minister left perched on the end of my toilet seat (4,5,4)"
SLOBBERY,Cunning snares heading off cove taking money given to slaver (8)
KANT,"The keys to knowledge are nature and time, he thought (4)"
THIGHSLAPPER,Key to Telegraph Records Library initially kept in fine crack (5-7)
JETTISON,Abandon visitor from afar in a variety of joints (8)
ABUT,Nothing weeded out from around border (4)
TODATE,"Thus far, one’s own source of mischief (2,4)"
MUHAMMADALI,"One’s not very good at boxing in silence (something bizarre to behold!) (8,3)"
EASTINDIA,"European can start to deal in another continent — here, maybe? (4,5)"
TENONING,Creation of joint Rotary campaign in one town’s banks (8)
OUT,Unable to rise from the canvas surface (3)
HANDBAGS,Not 7 you’d pay to see — Spooner’s prohibited witches (8)
MAJORAXES,"Army officer restricts lines through focal points (5,4)"
ADIEU,Heading for Uni after a long goodbye (5)
STEELY,Hard sell that executives initially see (6)
AMIDST,Admits recasting is central to … (6)
THERING,"… all-father in German operas (3,4)"
SMOKIN,"Knockout set up by this person in storm of major frenzies? (6,3,7)"
DOZEN,A number of apostles contemplate their essence? (5)
AGO,Foremost of athletes shot past (3)
AIR,"With upward movement of current in dry and wet weather, they’ll prevent damp (3-6)"
THEGARDEN,"New adherent enthrals grand Epicurean school (3,6)"
MADISON,One’s willing to follow crackpot President (7)
ASWEAT,Was oddly disposed to feed on dripping? (6)
SQUARE,Conservative quits (6)
ESCAPOLOGY,"Theatrical release of captive with key, saying sorry (10)"
JET,Leap from plane with tail on fire (4)
CHEVRON,Companion stumbling over new road sign (7)
SAPPERS,"Masks, etc used by Republican in specialist regiment, and another (7)"
MATRIX,Master and kids discussed mathematical table (6)
LEGALAID,"On first part of journey maybe ring about help with cases? (5,3)"
ALPHABET,A-Z map briefly reviewed before stay in Derby? (8)
CHASER,Drink following each Xmas (beer) all reduced by half (6)
SAMUELBECKETT,"Writer‘s series of holy books current estate regularly discarded (6,7)"
BLETHER,"In Scotland, gas bill lacks content — it’s different there (7)"
NAIVELY,"One’s in part of church and cathedral sharing echo, in innocence (7)"
RESCHEDULE,Arrange further scripture class to avoid returning after school (10)
ETCH,"Score, and the rest start to hug (4)"
CREWCUT,"Rowers on canal identifying arrangement of locks (4,3)"
PORTELIZABETH,"Left the blaze raging around independent African city (4,9)"
LENDER,Thin declining small shark? (6)
GASMETER,"Gambler bringing up son that keeps track of consumption (3,5)"
ELECTRA,European guitar players missing piano star (7)
EASTENDERS,Show people around Stratford (10)
PRE,"Reprising rap, he performs with finest artistic style (3-10)"
IMPASSABLE,Icy roads may be such a devil when black (10)
SEABORNE,"Insurgent clothes touring American carried mainly, so to speak (8)"
POMPEII,Ancient city failing to fulfil Portsmouth couple (7)
SETMENU,"Rogue meets some Greek for business lunch? (3,4)"
SCENIC,Perhaps Durham prison sounded dramatic (6)
HYPE,Talk up front in hall on variable exercises (4)
REPUBLICAN,"Referring to landlord in Lincoln, say (10)"
BASS,Singer opening in Berlin — when? First of September (4)
REALESTATE,"Official car leaving property (4,6)"
WELL,Fine   source of water (4)
TAPE,Record temperature and take off (4)
ENTRENOUS,"Note nurse translated in confidence (5,4)"
TREASURE,Briefly look after certain valuables (8)
ATTEND,"Take part in a series of motorbike time trials, then stop (6)"
RACKET,Clamour as game cut short (6)
TAKEABOW,"Appropriate by a rostrum to acknowledge applause (4,1,3)"
UPTOSNUFF,"Meeting the required standard, until put out (2,2,5)"
IRON,Smooth   golf club (4)
COLD,"Unfriendly Conservative, advanced in years (4)"
PROVIDENCE,Prudence to furnish new church (10)
POPE,Father beginning to eat fish (4)
ENTRAPMENT,Film guys on strike in billowing tent (10)
RARE,Seldom seen in disaster areas (4)
PLACATE,A superintendent finally in position to calm down (7)
BREWER,"A rye ‘Webster’s’ set out as a source of vitamin B (7,5)"
INTHEORY,"At work, that man’s enthralled by right- winger on paper (2,6)"
ASTUTE,Shrewd moving statue (6)
ANEMONE,Sign erected in an English plant (7)
SPLASHDOWN,Dash along landing (10)
GETTHEWINDUP,"Understand leg-pull about article may make one feel anxious (3,3,4,2)"
STIRRUPCUP,"Huntsman’s parting shot? (7,3)"
HAYFEVER,"Comic play   that may bring tears to your eyes? (3,5)"
CATFLAP,Way in which ginger’s used? (7)
BROWNIE,Have in cheese and chocolate cake (7)
FUNRUN,"With pleasure, organise charitable event (3,3)"
HEAT,"High temperature, and hard to swallow? (4)"
BIGDIPPER,"Well-known pickpocket’s joyride (3,6)"
NEGEV,Part of Israel‘s green space? On the contrary (5)
GARGLED,"Holding pair of gloves, Edgar mistakenly rinsed chops (7)"
POWDER,Cosmetic dentist’s first in command (6)
OYEZ,"Perhaps Bruce’s home, handling the cry for attention (4)"
PIED,"In US capital, partner’s dwelling used occasionally (4-1-5)"
RIDICULOUS,Absurd religious class explicit about ordinary American (10)
TYPE,Seventy pence covers stamp (4)
ARMLET,Band member hired (6)
TEARFUL,Start to take carpeting down (7)
DURER,"He painted game in colour, retrospectively (5)"
LIBRARIAN,Sign managed to stifle one worker in quiet environment? (9)
PAGER,Communication device for one in charge northwards (5)
AXILLA,US chopper’s above afflicted area which might be sprayed daily (6)
ESPADRILLE,European runner wearing short suit and casual footwear (10)
NARK,Spy two-by-two boarding here under floor in cabin (4)
HANGOUT,Local air? (7)
SAGEDERBY,"On empty belly, son agreed to roll cheese (4,5)"
NEVER,"Instalment plan left by joiner means dream home unattainable (5-5,4)"
ADJUSTABLE,Like some strapping entertainer in gold uniform (10)
ENDOMORPH,Chubby type harassed doormen by pub (9)
CHEERER,"Check phone network on! Right, one shouts approvingly (7)"
QATARI,Middle-Easterner advanced pitch to enter TV panel show (6)
FLING,It can be a job in the office avoiding the first current affair (5)
OLAF,‘ello from Spaniard met by loud Scandinavian? (4)
STROPS,Pet’s   strips of leather (6)
HORDES,Crowds of men housed in rickety shed (6)
HAVERING,London borough being indecisive (8)
DESPOT,Excellent journalist set about cruel person (6)
PLUM,"Soft mass, mostly something fruity (4)"
KOOKABURRA,"Prepare a place like 8, we hear for a bird (10)"
PROSPECTUSES,Sect’s purpose laid out in brochures (12)
BOWLINGGREEN,"See beginner glow excitedly in sporting venue (7,5)"
HOLLANDERS,Ships — more than one coming to shore during vacations (10)
SAGE,Son needs mature person with wisdom (4)
APPEAL,A sound of bells heard — giving a message asking for help (6)
SQUADCAR,"One of four children in short panic in special vehicle (5,3)"
MONODY,Knight in doleful song expressing sorrow (6)
DEGREE,Sixty minutes to get university award (6)
SMALLFRY,"Youngsters getting minimal eggs and bacon? (5,3)"
RHEUM,Chamber said to be cold once (5)
PRICKLE,Something sharp has king in difficulty (7)
ORDEAL,Nothing right with transactions — distressing experiences (7)
DISBURSER,Audibly rubbish treasurer who shells out cash (9)
SPOORS,Trails not good with double bends at either end (6)
GHOSTLINESS,Eerie quality of grand welcomers swallowing words on stage (11)
SUBALTERN,"Officer is a star, beginning to bring change internally (9)"
LEWGRADE,"Impresario rude about good artist with little energy (3,5)"
WANGLED,Little wife cornered and manipulated (7)
GESTURE,Signal gets half-confused on river (7)
POMPOM,Repeatedly clean up a decorative item (6)
SUDOR,"Sweat in the south of Picardy, along with fighting men (5)"
DEPOSE,"Dismiss Parisian from law officer’s team, lacking heart (6)"
MANPOWER,"Staff, unusual weapon clutched by maiden queen (8)"
ROSARY,Beads twisted or perhaps about right (6)
PRINCESS,"Royal family member, this one’s brother’s son (8)"
ENHANCED,Liquid he canned and improved (8)
TINDER,"Revolutionary communist, idiot that could ignite something (6)"
SLIPPERYSLOPE,"What the setter could offer for Poles? It leads to disaster (8,5)"
SLEIGHTOFHAND,"Magic vehicle carrying Santa to France with bit of help (7,2,4)"
ATTAIN,Get drinkers’ club to welcome non-drinker in (6)
SEAPLANE,Aircraft witness simply reported (8)
INDOLENT,Slow arrangement for Elton after horrible din (8)
INSTIL,Impress trendy whisky-maker no end (6)
TELETHON,"Elton rocks, hosting the broadcast TV event (8)"
DRYROT,"Monotonous hill — turned back, as something dangerous in wood (3,3)"
DARTED,Ventured to admit time was flying (6)
POSTHASTE,First-class mail should have this now! (9)
ACRE,Skilled aviator goes over river as some land (4)
WIELD,"Oddly rejected, oddly evil, we will head north and flourish (5)"
RESERVED,Kept cool (8)
RESPITE,Rest should contribute half of table tip servers raised (7)
TRIFLED,"Flirted, messed about! (7)"
OLDMASTER,"Leotard’s divertingly worn by male artist (3,6)"
ESSAYIST,"One writing lines, say, is twiddling pens (8)"
PELLET,"In France she is in training, being a little round (6)"
TIDAL,"Young man with charisma rising and rising, then falling (5)"
UNDO,Free party for peacekeepers? (4)
ETCH,Carve in sweet chestnut (4)
ODIUM,"Leaving platform, politician’s first to show hatred (5)"
ATONE,"Makes good comic broadcast in a state of desperation (2,4,4,3)"
SCARFACE,Hard to get entertaining group of footballers for film (8)
DIKTAT,Drink a toast every now and then — that’s an order (6)
UNCORK,Open Irish port after French one (6)
ROCKSTAR,"Perhaps Freddie Mercury and Queen released tracks on disc (4,4)"
ANIMALKINGDOM,"Beastly collection delivered by angry mailman biting family dog — that’s back to front (6,7)"
CREAMSODA,"Somewhat mediocre a.m. — so Dad’s getting a drink (5,4)"
GUANO,"Solving sudoku finally with a number — perhaps, a lot of number twos? (5)"
SPAN,Pair of horses reach bridge (4)
ENTERPRISEZONE,"Start short book in jail before end of sentence — it’s a place where renewal is encouraged (10,4)"
LIMBO,Member with love for dance (5)
TENDENCY,Bent occupation making a case for divorce (8)
ELBOW,"Joint trouble rising, pinching limb’s edges (5)"
TANGENT,Northern man after turning up at function (7)
HEREDITARY,The woman’s allowance of food must raise energy — it’s genetic (10)
HATTRICK,"That cycling sprain represents a great sporting achievement (3,5)"
ASSURANCES,"Promises frisky sauna, ultimately wanting caress (10)"
FIREARMS,Weapons companies lug inside (8)
POUNDAGE,Initially going round to charge servant commission (8)
CHIMERA,Fire-breathing monster created by artist under agreement (7)
